comment,sentiment
"The dislikes are probably from jealous competitors. Keep it up!",positive
"The camera quality is amazing. Feels like I'm there.",positive
"The editing needs improvement. Some parts are confusing.",negative
"I can't believe I wasted my time watching this. Unsubscribed.",negative
"I'm addicted to this channel. Can't get enough!",positive
"Thumbs up if you're watching this during a study break!",positive
"I appreciate the effort, but the content is not my cup of tea.",negative
"Let's make this the most liked comment on the video!",positive
"Why is this in my recommended? YouTube algorithm, you're drunk.",negative
"The community here is great. Love reading everyone's thoughts.",positive
"The background music is distracting. Couldn't focus on the topic.",negative
"I've been a subscriber since the beginning. It's been a journey!",positive
"Why so many haters? This is quality content.",positive
"I tried recreating this at home. It was a disaster!",negative
"I've never commented before, but I had to for this. Thumbs up!",positive
"The video is too short. I wanted more!",negative
"Great video, but the ads are killing me. Too many interruptions.",negative
"The comments are more entertaining than the video itself.",negative
"Your content always brightens my day. Thank you!",positive
"I'm new here. What other videos should I check out from this channel?",positive
"Can't believe this is free content. Worth paying for!",positive
"The transitions between scenes are too abrupt. It's jarring.",negative
"Why are people hating? This video is legit.",positive
"The narrator talks too fast. Hard to keep up.",negative
"I don't usually comment, but this was too good to ignore!",positive
"The video ended too soon. I wanted more details.",negative
"The dislikes are probably from bots. This deserves better.",positive
"I've seen better. Not impressed.",negative
"The cinematography is impressive. Looks like a professional shoot.",positive
"I'm unsubscribing. The quality of content has gone downhill.",negative
"Why do people keep disliking without watching? Give it a chance!",positive
"This is the best thing I've seen on YouTube all week!",positive
"The lighting in some shots is off. It's distracting.",negative
"I've watched this three times already. Can't get enough!",positive
"Why so many dislikes? I enjoyed every minute of it.",positive
"I was skeptical at first, but this turned out to be great!",positive
"I've never clicked so fast on a notification. Love your videos!",positive
"The comments section needs a positivity boost. Spread love!",positive
"The content is too repetitive. I expected something new.",negative
"This deserves to be on the trending page. Let's get it there!",positive
"I've never seen anything like this before. Truly unique content.",positive
"The jump cuts are too frequent. It's hard to follow.",negative
"I wish I could give this a standing ovation. Outstanding work!",positive
"The dislikes are from people who envy your success. Ignore them.",positive
"Too many ads. It's becoming unbearable.",negative
"The video is good, but the background music is too loud.",negative
"I came here from a friend's recommendation. They have great taste!",positive
"The camera work is shaky at times. It gave me a headache.",negative
"I'm addicted to this series. When is the next episode coming out?",positive
"The dislikes are probably from people who didn't understand the humor.",positive
"Thumbs up if you're watching this in 4K! The quality is amazing.",positive
"The comments are more entertaining than the video itself.",negative
"The content is not for everyone, but I enjoy it. Keep it up!",positive
"Who else is binge-watching all the videos in one sitting?",positive
"I can't believe this only has a few views. It's a hidden gem!",positive
"The transitions between scenes are smooth. Great editing!",positive
"I've never commented on a video before, but this deserves praise!",positive
"Why are people disliking without giving a reason? Explain yourself!",negative
"The thumbnail got me interested, and the video lived up to it!",positive
"I'm using this video for my research project. Thanks for the insights!",positive
"The intro is too long. I almost clicked away.<br/>",negative
"I've watched every video on this channel. Can't get enough!<br/>",positive
"Why do people keep disliking? This is quality content!<br/>",positive
"The camera work is shaky. Hard to focus on the content.<br/>",negative
"The host's energy is contagious. Always puts me in a good mood!<br/>",positive
"Thumbs up if you're watching in 2023!<br/>",positive
"I can't believe I wasted my time on this. Disappointed.<br/>",negative
"The editing is top-notch. Love the fast-paced style!<br/>",positive
"I accidentally found this channel, and now I'm hooked.<br/>",positive
"The dislikes are from people who don't get the humor.<br/>",positive
"The background music is too loud. Lower the volume!<br/>",negative
"I subscribed after the first 30 seconds. Keep it up!<br/>",positive
"The lighting needs improvement. Some parts are too dark.<br/>",negative
"Why are there so many ads? It's ruining the experience.<br/>",negative
"The comments are full of negativity. Spread kindness!<br/>",positive
"I've never seen a video like this before. Unique concept!<br/>",positive
"The video quality is impressive. Feels like 4K!<br/>",positive
"Why does this have so many views? Am I missing something?<br/>",negative
"The transitions between scenes are seamless. Great job!<br/>",positive
"I'm binge-watching all your videos. Can't stop!<br/>",positive
"The humor is not for everyone. I found it hilarious!<br/>",positive
"Is anyone else here from the recommended section?<br/>",positive
"The host is too scripted. Feels unnatural.<br/>",negative
"I wish the video was longer. It ended too soon.<br/>",negative
"Why is this not trending? It deserves more attention!<br/>",positive
"The comments section is a wild ride. What's happening?<br/>",negative
"I've never commented before, but this video is a gem!<br/>",positive
"The special effects are overdone. It's distracting.<br/>",negative
"The thumbnail is misleading. Clickbait alert!<br/>",negative
"I'm watching this for the third time. Still funny!<br/>",positive
"Why are people disliking? This is quality content!<br/>",positive
"The host's voice is annoying. Couldn't finish the video.<br/>",negative
"I'm recommending this to all my friends. Must-watch!<br/>",positive
"The content is too predictable. Saw it coming a mile away.<br/>",negative
"I love how the host interacts with the audience. Engaging!<br/>",positive
"I'm watching this during quarantine. Anyone else?<br/>",positive
"The video made me laugh out loud. Thanks for that!<br/>",positive
"The background music is too soft. Barely noticeable.<br/>",negative
"Why so many dislikes? This is better than most content.<br/>",positive
"The host's humor is not for everyone. I enjoyed it!<br/>",positive
"Why is the host shouting? Lower the volume!<br/>",negative
"I've never seen a more loyal fanbase. Keep it up!<br/>",positive
"The video lacks substance. It's just filler content.<br/>",negative
"Why are there ads in the middle of the video? Annoying.<br/>",negative
"I'm watching this for the tenth time. Still entertaining!<br/>",positive
"The thumbnail caught my attention. The content delivered!<br/>",positive
"Why are people hating? This is top-tier content!<br/>",positive
"The pacing is too slow. I lost interest halfway.<br/>",negative
"I thought this was a clickbait title, but it's legit!<br/>",positive
"I've never commented before, but this video deserves it!<br/>",positive
"The dislikes are probably from jealous creators. Ignore them!<br/>",positive
"This made my day. Thank you for the laughs!<br/>",positive
"The video is too short. Wanted more details.<br/>",negative
"I watch this every morning. It sets a positive tone!<br/>",positive
"Why are there so many ads? It's distracting.<br/>",negative
"The humor is too dark. Not my taste.<br/>",negative
"Let's make this the most liked comment!<br/>",positive
"The special effects are impressive. Hollywood-level!<br/>",positive
"The host's enthusiasm is infectious. Love it!<br/>",positive
"I can't believe I only found this now. Subscribed!<br/>",positive
"The dislikes are probably from bots. Ignore them!<br/>",positive
"Why is this not trending? It's better than most on the list!<br/>",positive
"The music choice is perfect. Sets the mood!<br/>",positive
"The content is too predictable. Saw it coming.<br/>",negative
"I clicked for the thumbnail, stayed for the content!<br/>",positive
"Why are there so many dislikes? This deserves better!<br/>",positive
"The video is too long. Lost interest halfway through.<br/>",negative
"I've shared this with everyone I know. Must-watch!<br/>",positive
"The dislikes are from people with no sense of humor.<br/>",positive
"This video changed my perspective. Eye-opening!<br/>",positive
"The editing is on point. Smooth transitions!<br/>",positive
"Why is this not on the trending page? It should be!<br/>",positive
"The dislikes are from competitors. This is gold!<br/>",positive
"I've watched this ten times already. Can't get enough!<br/>",positive
"Why are there so many dislikes? This is quality content!<br/>",positive
"The background music is too loud. Lower the volume!<br/>",negative
"The host's energy is contagious. Always puts me in a good mood!<br/>",positive
"Thumbs up if you're watching in 2023!<br/>",positive
"I can't believe I wasted my time on this. Disappointed.<br/>",negative
"The editing is top-notch. Love the fast-paced style!<br/>",positive
"I accidentally found this channel, and now I'm hooked.<br/>",positive
"The dislikes are from people who don't get the humor.<br/>",positive
"I can't believe I wasted my time on this. Disappointed.<br/>",negative
"The editing is top-notch. Love the fast-paced style!<br/>",positive
"I accidentally found this channel, and now I'm hooked.<br/>",positive
"The dislikes are from people who don't get the humor.<br/>",positive
"The background music is too loud. Lower the volume!<br/>",negative
"I subscribed after the first 30 seconds. Keep it up!<br/>",positive
"The lighting needs improvement. Some parts are too dark.<br/>",negative
"Why are there so many ads? It's ruining the experience.<br/>",negative
"The comments are full of negativity. Spread kindness!<br/>",positive
"I've never seen a video like this before. Unique concept!<br/>",positive
"The video quality is impressive. Feels like 4K!<br/>",positive
"Why does this have so many views? Am I missing something?<br/>",negative
"The transitions between scenes are seamless. Great job!<br/>",positive
"I'm binge-watching all your videos. Can't stop!<br/>",positive
"The humor is not for everyone. I found it hilarious!<br/>",positive
"Is anyone else here from the recommended section?<br/>",positive
"The host is too scripted. Feels unnatural.<br/>",negative
"I wish the video was longer. It ended too soon.<br/>",negative
"Why is this not trending? It deserves more attention!<br/>",positive
"The comments section is a wild ride. What's happening?<br/>",negative
"I've never commented before, but this video is a gem!<br/>",positive
"The special effects are overdone. It's distracting.<br/>",negative
"The thumbnail is misleading. Clickbait alert!<br/>",negative
"I'm watching this for the third time. Still funny!<br/>",positive
"Why are people disliking? This is quality content!<br/>",positive
"The host's humor is not for everyone. I enjoyed it!<br/>",positive
"Why is the host shouting? Lower the volume!<br/>",negative
"I've never seen a more loyal fanbase. Keep it up!<br/>",positive
"The video lacks substance. It's just filler content.<br/>",negative
"Why are there ads in the middle of the video? Annoying.<br/>",negative
"I'm watching this for the tenth time. Still entertaining!<br/>",positive
"The thumbnail caught my attention. The content delivered!<br/>",positive
"Why are people hating? This is top-tier content!<br/>",positive
"Couldn't stop laughing! This is comedy gold!<br/>",positive
"The video quality is terrible. Can barely see anything.<br/>",negative
"Why is this in my recommendations? Not interested.<br/>",negative
"The host's voice is soothing. Perfect for ASMR!<br/>",positive
"The dislikes are from people who envy the success.<br/>",positive
"The camera angles are confusing. Hard to follow.<br/>",negative
"The music is too loud. Couldn't focus on the dialogue.<br/>",negative
"I love how this video brightens my day. Keep it up!<br/>",positive
"The video is too short. Wanted more details.<br/>",negative
"The host's humor is not for everyone. I found it hilarious!<br/>",positive
"The special effects are mind-blowing. Hollywood-level quality!<br/>",positive
"I've never seen a more engaging comment section. So entertaining!<br/>",positive
"Why is this not trending? It deserves more attention!<br/>",positive
"The background music is too soft. Barely noticeable.<br/>",negative
"The editing is on point. Smooth transitions!<br/>",positive
"Why are there so many dislikes? This is quality content!<br/>",positive
"The host's energy is infectious. Always puts me in a good mood!<br/>",positive
"The video is too long. Lost interest halfway through.<br/>",negative
"The dislikes are probably from bots. Ignore them!<br/>",positive
"The pacing is too slow. I lost interest halfway.<br/>",negative
"The music choice is perfect. Sets the mood!<br/>",positive
"I'm watching this for the tenth time. Still entertaining!<br/>",positive
"Why are there ads in the middle of the video? Annoying.<br/>",negative
"The thumbnail caught my attention. The content delivered!<br/>",positive
"Why are people hating? This is top-tier content!<br/>",positive
"I can't believe I only found this now. Subscribed!<br/>",positive
"The dislikes are probably from jealous creators. Ignore them!<br/>",positive
"Why is this not on the trending page? It should be!<br/>",positive
"I've watched this ten times already. Can't get enough!<br/>",positive
"Why are there so many dislikes? This is quality content!<br/>",positive
"The background music is too loud. Lower the volume!<br/>",negative
"The host's energy is contagious. Always puts me in a good mood!<br/>",positive
"Thumbs up if you're watching in 2023!<br/>",positive
"I can't believe I wasted my time on this. Disappointed.<br/>",negative
"The editing is top-notch. Love the fast-paced style!<br/>",positive
"I accidentally found this channel, and now I'm hooked.<br/>",positive
"The dislikes are from people who don't get the humor.<br/>",positive
"The background music is too loud. Lower the volume!<br/>",negative
"I subscribed after the first 30 seconds. Keep it up!<br/>",positive
"The lighting needs improvement. Some parts are too dark.<br/>",negative
"Why are there so many ads? It's ruining the experience.<br/>",negative
"The comments are full of negativity. Spread kindness!<br/>",positive
"I've never seen a video like this before. Unique concept!<br/>",positive
"The video quality is impressive. Feels like 4K!<br/>",positive
"Why does this have so many views? Am I missing something?<br/>",negative
"The transitions between scenes are seamless. Great job!<br/>",positive
"I'm binge-watching all your videos. Can't stop!<br/>",positive
"The humor is not for everyone. I found it hilarious!<br/>",positive
"Is anyone else here from the recommended section?<br/>",positive
"The host is too scripted. Feels unnatural.<br/>",negative
"I wish the video was longer. It ended too soon.<br/>",negative
"Why is this not trending? It deserves more attention!<br/>",positive
"The comments section is a wild ride. What's happening?<br/>",negative
"I've never commented before, but this video is a gem!<br/>",positive
"The special effects are overdone. It's distracting.<br/>",negative
"The thumbnail is misleading. Clickbait alert!<br/>",negative
"I'm watching this for the third time. Still funny!<br/>",positive
"Why are people disliking? This is quality content!<br/>",positive
"The host's humor is not for everyone. I enjoyed it!<br/>",positive
"Why is the host shouting? Lower the volume!<br/>",negative
"I've never seen a more loyal fanbase. Keep it up!<br/>",positive
"The video lacks substance. It's just filler content.<br/>",negative
"Why are there ads in the middle of the video? Annoying.<br/>",negative
"I'm watching this for the tenth time. Still entertaining!<br/>",positive
"The thumbnail caught my attention. The content delivered!<br/>",positive
"Why are people hating? This is top-tier content!<br/>",positive

"This is amazing!",positive
"I don't like it.",negative
"So cool!",positive
"Not impressed.",negative
"I love this!",positive
"Boring.",negative
"Great job!",positive
"Terrible.",negative
"I'm a fan!",positive
"Disappointing.",negative
"Fantastic!",positive
"Not my style.",negative
"I enjoy this.",positive
"Hate it.",negative
"Superb!",positive
"Awful.",negative
"I'm obsessed!",positive
"Poor quality.",negative
"Thumbs up!",positive
"Thumbs down.",negative
"I can't stop watching!",positive
"Complete waste of time.",negative
"Highly recommended!",positive
"I regret watching this.",negative
"Brilliant!",positive
"Not worth it.",negative
"I'm addicted!",positive
"Unimpressive.",negative
"I laughed so much!",positive
"So boring.",negative
"Captivating!",positive
"I fell asleep.",negative
"Top-notch!",positive
"I expected better.",negative
"Incredible!",positive
"Very disappointing.",negative
"I'm in love!",positive
"I'm so over this.",negative
"Wonderful!",positive
"Not my cup of tea.",negative
"Excellent!",positive
"Absolutely awful.",negative
"I'm hooked!",positive
"I don't get the hype.",negative
"Outstanding!",positive
"I don't recommend it.",negative
"Perfect!",positive
"Not perfect.",negative
"Love it!",positive
"I hate this.",negative
"I can't get enough!",positive
"I wasted my time.",negative
"Great stuff!",positive
"So underwhelming.",negative
"Thumbs up from me!",positive
"I'm unimpressed.",negative
"Impressive!",positive
"I expected more.",negative
"Fantastic work!",positive
"It's not good.",negative
"Bravo!",positive
"I'm not impressed.",negative
"Super entertaining!",positive
"Not entertaining at all.",negative
"Very enjoyable!",positive
"Not enjoyable.",negative
"Amazing effort!",positive
"I'm not feeling it.",negative
"Thoroughly impressed!",positive
"I wouldn't recommend it.",negative
"Pure gold!",positive
"I didn't like it.",negative
"Fantastic job!",positive
"I'm not a fan.",negative
"Great performance!",positive
"I'm not impressed with the performance.",negative
"Absolutely love it!",positive
"I absolutely dislike it.",negative
"Stunning!",positive
"It's not stunning.",negative
"Very funny!",positive
"Not funny at all.",negative
"I adore this!",positive
"I strongly dislike this.",negative
"Beautiful!",positive
"Far from beautiful.",negative
"Very creative!",positive
"Not creative.",negative
"This video is amazing.",positive
"I don't like it.",negative
"Great job on this content.",positive
"Such a waste of time.",negative
"I enjoyed watching this.",positive
"This is boring.",negative
"Thumbs up for this!",positive
"Not worth my time.",negative
"I subscribed to your channel.",positive
"I'm unsubscribing.",negative
"Best video I've seen.",positive
"I don't see the appeal.",negative
"This is so entertaining.",positive
"I've seen better.",negative
"Hilarious content.",positive
"Not funny at all.",negative
"I learned a lot from this.",positive
"Just a waste of time.",negative
"Sharing with my friends!",positive
"I wouldn't recommend this.",negative
"So much fun!",positive
"I can't believe I wasted time on this.",negative
"Thumbs up if you're still watching.",positive
"I can't believe people like this.",negative
"Fantastic job on this video!",positive
"This is terrible.",negative
"Super informative.",positive
"I regret clicking on this.",negative
"I'm obsessed with this channel!",positive
"I don't get the hype around this.",negative
"I can't get enough of this content.",positive
"Not my cup of tea.",negative
"Absolutely amazing!",positive
"I don't like it at all.",negative
"I'm hooked on this series!",positive
"I expected more from the storyline.",negative
"Incredible production!",positive
"I won't be watching this again.",negative
"I love this song!",positive
"I can't stand the music in this video.",negative
"Top-notch quality!",positive
"Quality is seriously lacking.",negative
"I can't stop laughing!",positive
"This isn't funny at all.",negative
"I can't wait for the next episode!",positive
"This series is not worth the anticipation.",negative
"This is my favorite video!",positive
"I didn't enjoy it.",negative
"Amazing content!",positive
"I'm disappointed.",negative
"I love the way you explained things.",positive
"So confusing and not helpful.",negative
"Subscribed for more!",positive
"I won't be subscribing.",negative
"Great tutorial!",positive
"This is a waste of time.",negative
"Your videos are always helpful.",positive
"I regret clicking on this video.",negative
"Thumbs up for the great work!",positive
"This is so boring.",negative
"I appreciate the effort you put into this.",positive
"I expected more from this channel.",negative
"Can't stop watching this!",positive
"I can't believe people actually like this.",negative
"Interesting topic!",positive
"I don't find this interesting at all.",negative
"Shared with my friends.",positive
"I wouldn't recommend this to anyone.",negative
"So entertaining!",positive
"This is a complete letdown.",negative
"Keep up the good work!",positive
"I don't see the appeal of your content.",negative
"I learned something new from this.",positive
"I feel like I wasted my time.",negative
"Love your content!",positive
"This is so overrated.",negative
"Very informative video.",positive
"I don't understand the hype.",negative
"Addicted to your channel!",positive
"I don't get why people watch this.",negative
"Awesome video!",positive
"This is awful.",negative
"Can't wait for the next upload!",positive
"I won't be coming back for more.",negative
"Fantastic job!",positive
"I expected better quality.",negative
"So funny!",positive
"This isn't funny at all.",negative
"I look forward to your next video!",positive
"I won't be tuning in again.",negative
"this content is so bad.Maybe change it lol.",negative
"I don't like this at all. you are so boring.",negative
"one of the best youtubers i have seen.",positive
"this video is so bad",negative
"can he do somthing new ?",negative
"this guy can't be funny lmao",negative
"please quit this is embarassing",negative
"Love this video! So informative and well-presented.",positive
"This content is amazing. Keep up the good work!",positive
"Honestly, I can't stand this channel. Always boring content.",negative
"I've learned so much from your videos. Thank you!",positive
"The worst video ever. Waste of time.",negative
"Such a great analysis! Your insights are valuable.",positive
"I can't believe people watch this garbage.",negative
"Your videos make my day. Always entertaining!",positive
"I've never disliked a video before, but this deserves it.",negative
"Fantastic job on this video. Thumbs up!",positive
"This is the worst channel on YouTube. Unsubscribed.",negative
"I look forward to every upload. Keep it coming!",positive
"This is clickbait. Disappointed in the misleading title.",negative
"Amazing content as usual. You deserve more subscribers.",positive
"I can't stop laughing. Your sense of humor is unmatched.",positive
"This channel is so overrated. No quality content.",negative
"Great content. Very insightful and well-researched.",positive
"Your videos are a joke. Zero credibility.",negative
"Thanks for sharing this valuable information. Subscribed!",positive
"I don't know why people like this. It's so boring.",negative
"Your videos changed my perspective. Thank you!",positive
"This is just another clickbait video. Dislike.",negative
"I can't get enough of your content. It's addictive!",positive
"I can't believe I wasted my time watching this. Terrible.",negative
"Fantastic video! Your channel deserves more recognition.",positive
"Your videos are so cringeworthy. Can't watch anymore.",negative
"I've never commented before, but this video is a masterpiece!",positive
"I expected better from this channel. Disappointed.",negative
"Keep it up! Your videos are top-notch.",positive
"This is pure garbage. Unsubscribed.",negative
"I appreciate the effort you put into your videos. Great job!",positive
"I can't stand the host. Annoying and uninteresting.",negative
"Your videos are the highlight of my day. Thank you!",positive
"I don't get the hype around this channel. Overrated.",negative
"Your analysis is on point. Very well done!",positive
"This video is so dull. Why do people watch this?",negative
"Your content is absolute trash. Unsubscribed.",negative
"I love your channel! Informative and entertaining.",positive
"This video lacks substance. Thumbs down.",negative
"Your content is refreshing and informative. Subscribed!",positive
"Unbelievable how bad this channel is. Avoid at all costs.",negative
"This channel is incredible. Every video is a masterpiece!",positive
"Couldn't even finish watching this. Terrible content.",negative
"Your videos are so helpful. I've learned a lot.",positive
"I don't understand why people dislike this. It's great!",positive
"Absolutely awful. Can't believe I wasted time on this.",negative
"Your content is so inspiring. Keep up the good work!",positive
"I've never seen worse videos. Complete waste of time.",negative
"Thumbs up for another fantastic video! Love your content.",positive
"I used to enjoy this channel, but it's gone downhill.",negative
"Your channel deserves way more subscribers. Quality content!",positive
"I don't know why anyone would subscribe. Boring videos.",negative
"Amazing analysis. You really know your stuff!",positive
"This is the worst channel on YouTube. Zero substance.",negative
"I appreciate the effort you put into your videos. Great job!",positive
"Can't stop laughing at your videos. Hilarious!",positive
"Disappointing video. Expected better from this channel.",negative
"Your videos are so interesting and informative. Subscribed!",positive
"I don't get the hate. Your content is excellent.",positive
"This channel is a joke. Unsubscribed.",negative
"Your videos always brighten my day. Thank you!",positive
"I don't know how anyone enjoys this. Boring and pointless.",negative
"Your insights are always on point. Love your channel!",positive
"Thumbs down. This video is a letdown.",negative
"Your content is so addictive. Can't get enough!",positive
"I expected more from this channel. Disappointed.",negative
"Your videos are a breath of fresh air. Keep it up!",positive
"This is just another clickbait video. Not impressed.",negative
"I've never commented before, but this video is amazing!",positive
"This channel used to be good. Now it's just bad content.",negative
"Great video! Your channel deserves more recognition.",positive
"This video is so cringe. Unwatchable.",negative
"Your content changed my perspective. Thank you!",positive
"This channel is overrated. Nothing special.",negative
"Your analysis is always thorough and insightful. Well done!",positive
"This video is a waste of time. Disliked.",negative
"I can't wait for your next upload. Love your content!",positive
"This is garbage. Why is this even on YouTube?",negative
"Your videos are top-notch. Keep them coming!",positive
"I don't know why I keep watching. It's so bad.",negative
"Your content is top-quality. Subscribed!",positive
"Dislike. This channel is a disappointment.",negative
"Your videos are so dull. No substance.",negative
"kys",negative
